NV001,Nguyen,An,0905123456,1999-03-15,Nam,12000000
NV002,Tran,Binh,0914234567,1998-07-20,Nam,11500000
NV003,Le,Cam,0925345678,2000-11-05,Nu,11000000
NV004,Pham,Dung,0936456789,1997-02-10,Nu,12500000
NV005,Hoang,Giang,0947567890,2001-09-30,Nam,10000000
NV006,Do,Hoa,0958678901,1999-05-22,Nu,9500000
NV007,Vu,Khanh,0969789012,1998-12-17,Nam,13500000
NV008,Truong,Lan,0970890123,1997-08-03,Nu,10800000
NV009,Nguyen,Minh,0981901234,2000-01-25,Nam,9900000
NV010,Pham,Ngoc,0992012345,1999-06-11,Nu,11200000
